NAME,COUNTY,LAT,LON,TIDE
Wingo: Sonoma Creek,9415447,38.21,-122.427,1
Bolinas Lagoon,9414958,37.9078,-122.6786,2
Point Reyes,9415020,37.9961,-122.9767,2
Tomales Bay entrance,9415469,38.2283,-122.977,1
Blakes Landing: Tomales Bay,9415396,38.19,-122.917,1
Marshall: Tomales Bay,9415339,38.1617,-122.893,1
Reynolds: Tomales Bay,9415320,38.1467,-122.883,1
Inverness: Tomales Bay,9415228,38.1133,-122.868,1
Bodega Harbor entrance,9415625,38.3083,-123.055,1
Fort Ross,9416024,38.5133,-123.245,1
Green Cove,9416409,38.7043,-123.4494,2
ARENA COVE,9416841,38.9146,-123.7111,2
Point Arena,TWC0771,38.95,-123.7333,1
NOYO HARBOR,9417426,39.4258,-123.8051,2
Mendocino: Mendocino Bay,TWC0777,39.3,-123.8,1
Westport,9417624,39.6333,-123.783,1
Shelter Cove,9418024,40.025,-124.058,2
Cockrobin Island Bridge: Eel River,9418637,40.6372,-124.2822,2
HUMBOLDT BAY (North Spit),9418767,40.7663,-124.2172,2
Fields Landing,9418723,40.7233,-124.222,3
Hookton Slough,9418686,40.6867,-124.222,1
Elk River Railroad Bridge,9418757,40.7567,-124.193,1
Bucksport,9418778,40.7783,-124.197,1
Eureka,9418801,40.8067,-124.167,1
Eureka Slough Bridge,9418802,40.8067,-124.142,1
Samoa,9418817,40.8267,-124.18,2
Arcata Wharf,9418851,40.85,-124.117,1
Mad River Slough: Arcata Bay,9418865,40.865,-124.148,1
Trinidad Harbor,9419059,41.0567,-124.147,1
CRESCENT CITY,9419750,41.745,-124.183,2
Pyramid Point: Smith River,9419945,41.9453,-124.2009,2
